Index,Symbol,Company Name,Market Cap,Last Sale,% Change,Revenue
357,CORT,Corcept Therapeutics Incorporated,6.19B,58.66,1.86%,675.04M
358,AXSM,"Axsome Therapeutics, Inc.",6.18B,126.79,0.41%,385.69M
359,WING,Wingstop Inc.,6.18B,215.46,-2.15%,625.81M
360,GRFS,"Grifols, S.A.",6.17B,7.79,-1.39%,7.47B
361,LLYVK,Liberty Live Group,6.08B,66.34,-1.07%,
362,RMBS,Rambus Inc.,6.06B,56.72,-0.18%,556.62M
363,LLYVA,Liberty Live Group,6.05B,65.02,-0.91%,
364,MMSI,"Merit Medical Systems, Inc.",5.98B,101.68,0.39%,1.36B
365,CACC,Credit Acceptance Corporation,5.96B,495.49,-0.44%,928.20M
366,MKSI,"MKS Instruments, Inc.",5.94B,88.17,-2.65%,3.59B
367,CCCS,CCC Intelligent Solutions Holdings Inc.,5.92B,9.00,-0.55%,944.80M
368,CROX,"Crocs, Inc.",5.86B,104.59,-0.84%,4.10B
369,VIRT,"Virtu Financial, Inc.",5.82B,37.58,-0.37%,2.22B
370,CZR,"Caesars Entertainment, Inc.",5.80B,27.36,-3.15%,11.25B
371,TLX,Telix Pharmaceuticals Limited,5.78B,17.79,1.48%,484.69M
372,NVMI,Nova Ltd.,5.76B,196.76,-2.09%,672.40M
373,OPCH,"Option Care Health, Inc.",5.72B,34.58,0.85%,5.00B
374,GH,"Guardant Health, Inc.",5.69B,46.06,3.00%,739.02M
375,VRNA,Verona Pharma plc,5.68B,66.81,0.81%,42.28M
376,BPMC,Blueprint Medicines Corporation,5.67B,88.72,0.28%,508.82M
377,VERX,"Vertex, Inc.",5.65B,35.71,-1.24%,666.78M
378,CHX,ChampionX Corporation,5.64B,29.54,-0.20%,3.63B
379,ALKS,Alkermes plc,5.63B,34.60,2.00%,1.56B
380,ACIW,"ACI Worldwide, Inc.",5.59B,53.05,-0.84%,1.59B
381,IDCC,"InterDigital, Inc.",5.58B,217.35,-0.82%,868.52M
382,NUVL,"Nuvalent, Inc.",5.58B,77.96,0.41%,
383,CRVL,CorVel Corporation,5.54B,107.86,0.50%,871.31M
384,AMBR,Amber International Holding Limited,5.46B,12.07,4.05%,
385,WSC,WillScot Holdings Corporation,5.46B,29.75,-1.75%,2.40B
386,GNTX,Gentex Corporation,5.43B,23.91,-0.75%,2.31B
387,NXST,"Nexstar Media Group, Inc.",5.40B,176.99,-0.22%,5.41B
388,SIGI,"Selective Insurance Group, Inc.",5.39B,88.69,-0.46%,4.86B
389,KRYS,"Krystal Biotech, Inc.",5.39B,187.15,-0.77%,290.52M
390,CYTK,"Cytokinetics, Incorporated",5.38B,45.42,5.38%,18.47M
391,GDS,GDS Holdings Limited,5.38B,27.67,-3.32%,1.41B
392,OS,"OneStream, Inc.",5.37B,22.50,1.49%,489.41M
393,CRUS,"Cirrus Logic, Inc.",5.30B,99.79,-0.08%,1.84B
394,LSTR,"Landstar System, Inc.",5.26B,149.07,1.66%,4.83B
395,CGNX,Cognex Corporation,5.25B,30.92,-0.74%,914.52M
396,BCPC,Balchem Corporation,5.24B,161.17,-1.36%,953.68M
397,IONS,"Ionis Pharmaceuticals, Inc.",5.23B,32.91,0.55%,705.14M
398,FCFS,"FirstCash Holdings, Inc.",5.23B,116.87,-0.50%,3.39B
399,LFUS,"Littelfuse, Inc.",5.18B,209.79,-0.74%,2.19B
400,COLB,"Columbia Banking System, Inc.",5.18B,24.72,0.41%,1.82B
401,BWIN,"The Baldwin Insurance Group, Inc.",5.16B,43.90,1.81%,1.39B
402,ACT,"Enact Holdings, Inc.",5.12B,33.72,-0.74%,1.20B
403,FFIN,"First Financial Bankshares, Inc.",5.07B,35.70,0.14%,536.91M
404,TIGO,Millicom International Cellular S.A.,5.07B,29.94,-3.82%,5.80B
405,IEP,Icahn Enterprises L.P.,5.07B,9.69,0.21%,10.03B
406,SAIC,Science Applications International Corporation,5.06B,105.90,-0.08%,7.48B
407,OZK,Bank OZK,5.03B,44.31,0.36%,1.48B
408,LYFT,"Lyft, Inc.",5.01B,11.98,1.96%,5.79B
409,PAGP,"Plains GP Holdings, L.P.",4.98B,21.34,-1.02%,50.07B
410,REYN,Reynolds Consumer Products Inc.,4.97B,23.67,0.13%,3.70B
411,VLY,Valley National Bancorp,4.96B,8.85,0.45%,1.52B
412,SPSC,"SPS Commerce, Inc.",4.95B,130.13,1.44%,637.77M
413,CSWI,"CSW Industrials, Inc.",4.91B,292.79,0.04%,858.61M
414,UBSI,"United Bankshares, Inc.",4.91B,34.38,-0.95%,1.01B
415,NSIT,"Insight Enterprises, Inc.",4.90B,154.18,-0.26%,8.70B
416,ALGM,"Allegro MicroSystems, Inc.",4.89B,26.57,-1.01%,772.76M
417,UPST,"Upstart Holdings, Inc.",4.87B,51.96,4.55%,676.96M
418,INTA,"Intapp, Inc.",4.84B,60.95,1.20%,465.03M
419,LANC,Lancaster Colony Corporation,4.83B,175.33,0.67%,1.90B
420,ETSY,"Etsy, Inc.",4.83B,45.11,0.40%,2.81B
421,PECO,"Phillips Edison & Company, Inc.",4.83B,34.93,-0.94%,661.39M
422,ITRI,"Itron, Inc.",4.82B,105.76,-0.96%,2.44B
423,NOVT,Novanta Inc.,4.80B,133.52,-0.51%,949.25M
424,AMKR,"Amkor Technology, Inc.",4.79B,19.42,,6.32B
425,LOPE,"Grand Canyon Education, Inc.",4.78B,168.82,-0.75%,1.03B
426,ESGR,Enstar Group Limited,4.75B,332.05,0.02%,1.21B
427,EEFT,"Euronet Worldwide, Inc.",4.72B,108.01,-0.35%,3.99B
428,KTOS,"Kratos Defense & Security Solutions, Inc.",4.71B,30.81,-2.81%,1.14B
429,ADMA,"ADMA Biologics, Inc.",4.70B,19.80,0.76%,426.45M
430,FRSH,Freshworks Inc.,4.69B,15.54,1.64%,720.42M
431,QLYS,"Qualys, Inc.",4.67B,127.92,-0.73%,607.57M
432,VRNS,"Varonis Systems, Inc.",4.61B,41.00,-1.30%,550.95M
433,CLBT,Cellebrite DI Ltd.,4.61B,19.23,1.00%,401.20M
434,LITE,Lumentum Holdings Inc.,4.60B,66.61,-3.23%,1.41B
435,URBN,"Urban Outfitters, Inc.",4.53B,49.13,0.37%,5.55B
436,RRR,"Red Rock Resorts, Inc.",4.53B,44.25,-1.51%,1.94B
437,BGC,"BGC Group, Inc.",4.51B,9.35,0.43%,2.17B
438,PTCT,"PTC Therapeutics, Inc.",4.51B,57.14,0.90%,806.78M
439,HWC,Hancock Whitney Corporation,4.50B,52.30,0.62%,1.39B
440,DJT,Trump Media & Technology Group Corp.,4.46B,20.25,1.10%,3.62M
441,PONY,Pony AI Inc.,4.44B,12.71,1.68%,84.33M
442,CALM,"Cal-Maine Foods, Inc.",4.37B,89.20,0.54%,3.08B
443,FELE,"Franklin Electric Co., Inc.",4.37B,95.56,-2.50%,2.02B
444,TENB,"Tenable Holdings, Inc.",4.36B,36.25,0.33%,900.02M
445,WRD,WeRide Inc.,4.36B,15.88,-0.50%,49.48M
446,GSHD,"Goosehead Insurance, Inc",4.35B,116.54,1.06%,313.57M
447,MARA,"MARA Holdings, Inc.",4.28B,12.38,-0.96%,656.38M
448,RUSHB,"Rush Enterprises, Inc.",4.27B,55.70,-0.43%,7.80B
449,TSEM,Tower Semiconductor Ltd.,4.27B,38.25,-1.03%,1.44B
450,SANM,Sanmina Corporation,4.25B,78.31,-0.01%,7.70B
451,COLM,Columbia Sportswear Company,4.24B,76.57,0.28%,3.37B
452,RUSHA,"Rush Enterprises, Inc.",4.23B,53.45,-1.06%,7.80B
453,FRPT,"Freshpet, Inc.",4.22B,86.64,0.25%,975.18M
454,SITM,SiTime Corporation,4.21B,178.26,0.57%,202.70M
455,FIVE,"Five Below, Inc.",4.19B,76.24,0.17%,3.88B
456,ATAT,Atour Lifestyle Holdings Limited,4.17B,30.27,0.20%,950.76M
457,LBTYB,Liberty Global Ltd.,4.15B,11.51,-0.86%,4.34B
458,LBTYK,Liberty Global Ltd.,4.15B,12.15,-2.10%,4.34B
459,ROAD,"Construction Partners, Inc.",4.13B,73.83,-3.06%,1.99B
460,CVCO,"Cavco Industries, Inc.",4.11B,512.89,-1.65%,1.93B
461,SBRA,"Sabra Health Care REIT, Inc.",4.11B,17.26,-0.40%,702.64M
462,RELY,"Remitly Global, Inc.",4.08B,20.33,-1.21%,1.26B
463,LBTYA,Liberty Global Ltd.,4.07B,11.67,-2.10%,4.34B
464,PYCR,"Paycor HCM, Inc.",4.07B,22.40,0.09%,699.73M
465,AVT,"Avnet, Inc.",4.06B,46.99,-2.41%,22.48B
466,IAC,IAC Inc.,4.03B,48.39,-0.31%,3.81B
467,GBDC,"Golub Capital BDC, Inc.",4.01B,15.12,0.20%,780.61M
468,SLAB,Silicon Laboratories Inc.,4.01B,123.57,-0.98%,584.39M
469,EXPO,"Exponent, Inc.",4.01B,78.90,-1.65%,518.49M
470,AEIS,"Advanced Energy Industries, Inc.",3.97B,105.26,-0.54%,1.48B
471,GLNG,Golar LNG Limited,3.95B,37.76,-1.41%,260.37M
472,IBOC,International Bancshares Corporation,3.95B,63.44,0.73%,801.84M
473,SOUN,"SoundHound AI, Inc.",3.93B,9.86,2.82%,84.69M
474,STRL,"Sterling Infrastructure, Inc.",3.88B,126.63,0.56%,2.12B
475,DORM,"Dorman Products, Inc.",3.84B,125.45,-0.84%,2.01B
476,FROG,JFrog Ltd.,3.84B,33.98,0.32%,428.49M
477,BRZE,"Braze, Inc.",3.83B,37.03,2.72%,563.97M
478,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",3.82B,79.47,-2.43%,723.36M
479,VCTR,"Victory Capital Holdings, Inc.",3.81B,59.87,-0.63%,893.48M
480,ACLX,"Arcellx, Inc.",3.81B,69.33,-2.89%,107.94M
481,WFRD,Weatherford International plc,3.80B,52.23,-1.19%,5.51B
482,IPAR,"Interparfums, Inc.",3.80B,118.38,-1.54%,1.45B
483,SNEX,StoneX Group Inc.,3.80B,117.33,-0.57%,106.99B
484,ZLAB,Zai Lab Limited,3.78B,35.09,-6.00%,398.99M
485,SWTX,"SpringWorks Therapeutics, Inc.",3.74B,49.89,-2.33%,191.59M
486,ZI,ZoomInfo Technologies Inc.,3.73B,10.89,1.59%,1.21B
487,RNA,"Avidity Biosciences, Inc.",3.71B,30.84,0.03%,10.90M
488,IESC,"IES Holdings, Inc.",3.69B,184.26,-1.48%,3.00B
489,SKYW,"SkyWest, Inc.",3.67B,91.12,0.81%,3.53B
490,FIZZ,National Beverage Corp.,3.66B,39.08,-1.69%,1.19B
491,RDNT,"RadNet, Inc.",3.65B,49.28,-0.87%,1.83B
492,BANF,BancFirst Corporation,3.64B,109.61,-0.01%,622.45M
493,RARE,Ultragenyx Pharmaceutical Inc.,3.62B,39.17,0.72%,560.23M
494,ICUI,"ICU Medical, Inc.",3.61B,147.07,-0.69%,2.38B
495,AKRO,"Akero Therapeutics, Inc.",3.60B,45.22,1.25%,
496,KC,Kingsoft Cloud Holdings Limited,3.56B,15.43,-6.37%,1.07B
497,CRSP,CRISPR Therapeutics AG,3.54B,41.22,0.12%,37.31M
498,PCH,PotlatchDeltic Corporation,3.51B,44.52,-2.67%,1.06B
499,AVAV,"AeroVironment, Inc.",3.50B,125.01,-0.07%,742.56M
500,TCBI,"Texas Capital Bancshares, Inc.",3.49B,75.88,0.36%,865.35M
501,ALVO,Alvotech,3.49B,11.57,0.17%,393.92M
502,PLXS,Plexus Corp.,3.47B,128.21,-0.68%,3.95B
503,HEES,"H&E Equipment Services, Inc.",3.46B,95.03,-0.05%,1.52B
504,PLMR,"Palomar Holdings, Inc.",3.45B,129.32,-1.07%,553.86M
505,SNRE,Sunrise Communications AG,3.42B,47.81,1.49%,3.33B
506,SMTC,Semtech Corporation,3.41B,39.62,-2.51%,909.30M
507,NWE,"NorthWestern Energy Group, Inc.",3.39B,55.32,-1.53%,1.51B
508,OTTR,Otter Tail Corporation,3.38B,80.87,-1.80%,1.33B
509,TFSL,TFS Financial Corporation,3.38B,12.13,-0.98%,304.58M
510,ALHC,"Alignment Healthcare, Inc.",3.38B,17.61,2.50%,2.70B
511,SHC,Sotera Health Company,3.37B,11.90,-0.58%,1.10B
512,ARLP,"Alliance Resource Partners, L.P.",3.37B,26.25,-1.61%,2.45B
513,BHF,"Brighthouse Financial, Inc.",3.37B,57.98,,6.30B
514,VRRM,Verra Mobility Corporation,3.36B,21.07,0.81%,879.21M
515,IMVT,"Immunovant, Inc.",3.34B,19.64,-0.25%,
516,SMPL,The Simply Good Foods Company,3.33B,33.00,-0.96%,1.36B
517,MGEE,"MGE Energy, Inc.",3.33B,91.31,-1.35%,659.94M
518,EBC,"Eastern Bankshares, Inc.",3.32B,16.59,0.85%,664.13M
519,NCNO,"nCino, Inc.",3.30B,28.50,0.32%,522.98M
520,RYTM,"Rhythm Pharmaceuticals, Inc.",3.29B,52.04,-4.04%,130.13M
521,FULT,Fulton Financial Corporation,3.28B,18.02,-0.77%,1.15B
522,IRTC,"iRhythm Technologies, Inc.",3.28B,104.49,0.14%,591.84M
523,CCOI,"Cogent Communications Holdings, Inc.",3.27B,68.31,-0.96%,955.70M
524,MRUS,Merus N.V.,3.26B,47.24,-2.21%,36.13M
525,OSIS,"OSI Systems, Inc.",3.26B,193.78,-1.85%,1.65B
526,VEON,VEON Ltd.,3.25B,45.95,2.03%,4.00B
527,VKTX,"Viking Therapeutics, Inc.",3.25B,28.95,2.12%,
528,PTVE,Pactiv Evergreen Inc.,3.24B,17.93,0.11%,5.15B
529,PTEN,"Patterson-UTI Energy, Inc.",3.24B,8.38,-0.36%,5.38B
530,PTGX,"Protagonist Therapeutics, Inc.",3.23B,52.65,-0.75%,434.43M
531,CRNX,"Crinetics Pharmaceuticals, Inc.",3.20B,34.42,0.26%,1.04M
532,PRCT,PROCEPT BioRobotics Corporation,3.18B,58.10,0.40%,224.50M
533,ASO,"Academy Sports and Outdoors, Inc.",3.16B,47.23,-0.40%,5.93B
534,BL,"BlackLine, Inc.",3.16B,50.29,1.02%,653.34M
535,BTSG,"BrightSpring Health Services, Inc.",3.16B,18.05,-0.44%,11.27B
536,CARG,"CarGurus, Inc.",3.14B,30.11,0.80%,894.38M
537,NMRK,"Newmark Group, Inc.",3.13B,12.43,-1.19%,2.74B
538,SRRK,Scholar Rock Holding Corporation,3.13B,33.05,-1.75%,
539,WDFC,WD-40 Company,3.12B,230.67,-2.23%,603.64M
540,POWI,"Power Integrations, Inc.",3.12B,54.88,-1.28%,418.97M
541,XRAY,DENTSPLY SIRONA Inc.,3.10B,15.56,-0.26%,3.79B
542,SGRY,"Surgery Partners, Inc.",3.07B,24.22,-0.70%,3.11B
543,WEN,The Wendy's Company,3.06B,15.26,-1.10%,2.25B
544,NFE,New Fortress Energy Inc.,3.06B,11.17,7.92%,2.35B
545,BLKB,"Blackbaud, Inc.",3.06B,63.13,-1.25%,1.16B
546,FHB,"First Hawaiian, Inc.",3.05B,24.13,-0.54%,793.79M
547,WSFS,WSFS Financial Corporation,3.05B,52.05,0.72%,984.95M
548,STNE,StoneCo Ltd.,3.04B,11.10,-0.72%,2.06B
549,CATY,Cathay General Bancorp,3.04B,43.28,0.32%,692.22M
550,AVPT,"AvePoint, Inc.",3.04B,15.05,-0.13%,330.48M
551,AMED,"Amedisys, Inc.",3.03B,92.38,-0.42%,2.35B
552,APLS,"Apellis Pharmaceuticals, Inc.",3.03B,24.14,-0.04%,781.37M
553,LIF,"Life360, Inc.",3.02B,38.12,-8.12%,371.48M
554,CAMT,Camtek Ltd.,3.01B,66.05,-2.61%,429.23M
555,IRDM,Iridium Communications Inc.,3.01B,27.65,0.36%,830.68M
556,FIBK,"First Interstate BancSystem, Inc.",3.00B,28.70,0.24%,931.90M
557,MTSR,"Metsera, Inc.",2.95B,28.02,0.72%,
558,CPRX,"Catalyst Pharmaceuticals, Inc.",2.94B,24.23,4.62%,491.73M
559,WGS,GeneDx Holdings Corp.,2.93B,104.39,7.94%,305.45M
560,WGSWW,GeneDx Holdings Corp.,2.93B,0.241,17.65%,305.45M
561,LAUR,"Laureate Education, Inc.",2.91B,19.31,-0.46%,1.57B
562,CNXC,Concentrix Corporation,2.89B,44.93,-0.29%,9.62B
563,PATK,"Patrick Industries, Inc.",2.86B,85.08,0.67%,3.72B
564,DRVN,Driven Brands Holdings Inc.,2.85B,17.41,,2.34B
565,FTDR,"Frontdoor, Inc.",2.85B,38.09,0.77%,1.84B
566,PRVA,"Privia Health Group, Inc.",2.81B,23.34,0.21%,1.74B
567,ALRM,"Alarm.com Holdings, Inc.",2.81B,56.54,-0.70%,939.83M
568,ACAD,ACADIA Pharmaceuticals Inc.,2.80B,16.79,-2.27%,957.80M
569,MGRC,McGrath RentCorp,2.78B,113.41,-1.08%,910.94M
570,RIOT,"Riot Platforms, Inc.",2.78B,7.95,2.45%,376.66M
571,GSAT,"Globalstar, Inc.",2.78B,21.97,1.62%,250.35M
572,NMIH,"NMI Holdings, Inc.",2.77B,35.29,-0.48%,650.97M
573,FOLD,"Amicus Therapeutics, Inc.",2.77B,9.01,-0.83%,528.30M
574,PDCO,"Patterson Companies, Inc.",2.76B,31.16,-0.10%,6.51B
575,IPGP,IPG Photonics Corporation,2.73B,64.06,-1.97%,977.13M
576,ALKT,"Alkami Technology, Inc.",2.71B,26.55,1.07%,333.85M
577,PTON,"Peloton Interactive, Inc.",2.71B,6.96,6.75%,2.62B
578,XENE,Xenon Pharmaceuticals Inc.,2.71B,35.34,1.41%,
579,MRCY,"Mercury Systems, Inc.",2.70B,45.29,-2.52%,884.38M
580,DLO,DLocal Limited,2.69B,9.44,0.85%,745.97M
581,RXRX,"Recursion Pharmaceuticals, Inc.",2.69B,6.68,3.09%,58.84M
582,INDB,Independent Bank Corp.,2.69B,63.07,,653.49M
583,DOOO,BRP Inc.,2.69B,36.65,-1.50%,6.28B
584,PAYO,Payoneer Global Inc.,2.68B,7.46,-1.32%,977.72M
585,NWL,Newell Brands Inc.,2.68B,6.45,-1.38%,7.58B
586,AMRX,"Amneal Pharmaceuticals, Inc.",2.68B,8.66,-3.88%,2.79B
587,ACHC,"Acadia Healthcare Company, Inc.",2.67B,28.69,-1.10%,3.15B
588,USLM,"United States Lime & Minerals, Inc.",2.65B,93.02,-1.40%,317.72M
589,LFST,"LifeStance Health Group, Inc.",2.63B,6.85,0.44%,1.25B
590,MCW,"Mister Car Wash, Inc.",2.62B,8.10,-0.86%,994.73M
591,NAMS,NewAmsterdam Pharma Company N.V.,2.62B,23.87,-0.83%,45.56M
592,CVBF,CVB Financial Corp.,2.61B,18.70,0.48%,504.82M
593,GT,The Goodyear Tire & Rubber Company,2.61B,9.14,-1.83%,18.88B
594,TBBK,"The Bancorp, Inc.",2.60B,54.93,0.94%,495.38M
595,RGTI,"Rigetti Computing, Inc.",2.59B,9.07,0.89%,10.79M
596,ACVA,ACV Auctions Inc.,2.58B,15.31,-2.42%,637.16M
597,VIAV,Viavi Solutions Inc.,2.58B,11.64,2.46%,1.01B
598,PI,"Impinj, Inc.",2.58B,90.25,0.22%,366.09M
599,SFNC,Simmons First National Corporation,2.57B,20.39,-0.54%,728.85M
600,PENN,"PENN Entertainment, Inc.",2.56B,17.37,1.22%,6.58B
601,TOWN,TowneBank,2.56B,34.47,-0.78%,694.30M
602,TWST,Twist Bioscience Corporation,2.56B,42.89,2.00%,330.19M
603,INTR,"Inter & Co, Inc.",2.54B,5.78,-1.37%,743.86M
604,MLTX,MoonLake Immunotherapeutics,2.54B,40.12,-1.40%,
605,DGNX,Diginex Limited,2.53B,110.00,1.11%,1.18M
606,MEOH,Methanex Corporation,2.52B,37.44,-2.30%,3.72B
607,GCMG,GCM Grosvenor Inc.,2.52B,13.33,0.15%,511.74M
608,BATRA,"Atlanta Braves Holdings, Inc.",2.52B,42.71,-1.23%,662.75M
609,CAKE,The Cheesecake Factory Incorporated,2.52B,48.70,0.35%,3.58B
610,SYNA,Synaptics Incorporated,2.51B,64.10,-0.99%,1.01B
611,HCM,HUTCHMED (China) Limited,2.51B,14.99,-7.07%,630.20M
612,CORZ,"Core Scientific, Inc.",2.50B,8.51,-0.93%,510.67M
613,PSMT,"PriceSmart, Inc.",2.50B,83.71,-0.58%,5.01B
614,VCYT,"Veracyte, Inc.",2.48B,31.82,-0.06%,445.76M
615,VSEC,VSE Corporation,2.48B,120.36,-0.21%,1.08B
616,JJSF,J&J Snack Foods Corp.,2.47B,126.71,-1.02%,1.59B
617,BATRK,"Atlanta Braves Holdings, Inc.",2.46B,39.38,-1.18%,662.75M
618,WB,Weibo Corporation,2.46B,10.12,-0.49%,1.75B
619,RUM,Rumble Inc.,2.46B,7.74,,85.65M
620,ROOT,"Root, Inc.",2.44B,160.26,4.99%,1.18B
621,VICR,Vicor Corporation,2.42B,53.64,1.28%,359.06M
622,QDEL,QuidelOrtho Corporation,2.42B,35.93,2.19%,2.78B
623,ODD,Oddity Tech Ltd.,2.42B,43.32,0.19%,647.04M
624,FORM,"FormFactor, Inc.",2.41B,31.11,-3.59%,763.60M
625,IOSP,Innospec Inc.,2.40B,96.01,-2.45%,1.85B
626,FFBC,First Financial Bancorp.,2.36B,24.75,,756.07M
627,PRGS,Progress Software Corporation,2.36B,54.43,0.39%,753.41M
628,FRME,First Merchants Corporation,2.36B,40.24,-1.52%,610.99M
629,NEXT,NextDecade Corporation,2.35B,9.03,3.20%,
630,MRX,Marex Group plc,2.35B,33.45,-2.14%,2.36B
631,HSAI,Hesai Group,2.35B,18.40,-4.42%,284.58M
632,FA,First Advantage Corporation,2.34B,13.51,-3.15%,860.21M
633,VNET,"VNET Group, Inc.",2.33B,8.71,-1.69%,1.13B
634,MLCO,Melco Resorts & Entertainment Limited,2.33B,5.54,-0.72%,4.64B
635,TTMI,"TTM Technologies, Inc.",2.33B,22.77,0.62%,2.44B
636,TMDX,"TransMedics Group, Inc.",2.32B,69.05,0.31%,441.54M
637,APGE,"Apogee Therapeutics, Inc.",2.31B,39.84,-1.31%,
638,HURN,Huron Consulting Group Inc.,2.31B,140.87,-5.17%,1.49B
639,IBRX,"ImmunityBio, Inc.",2.31B,2.710,-1.45%,14.75M
640,VCEL,Vericel Corporation,2.31B,46.26,-1.95%,237.22M
641,MIRM,"Mirum Pharmaceuticals, Inc.",2.30B,47.02,-1.78%,336.89M
642,HUBG,"Hub Group, Inc.",2.30B,37.47,1.77%,3.95B
643,LION,Lionsgate Studios Corp.,2.30B,7.98,-1.60%,3.01B
644,FIVN,"Five9, Inc.",2.28B,30.14,1.72%,1.04B
645,APPN,Appian Corporation,2.28B,30.79,3.74%,617.02M
646,AMBA,"Ambarella, Inc.",2.26B,54.26,-0.70%,284.87M
647,PSNY,Polestar Automotive Holding UK PLC,2.26B,1.070,-0.93%,2.05B
648,PSNYW,Polestar Automotive Holding UK PLC,2.26B,0.198,2.91%,2.05B
649,WAFD,"WaFd, Inc.",2.26B,27.66,-2.09%,708.75M
650,SLNO,"Soleno Therapeutics, Inc.",2.25B,49.11,1.47%,
651,EWTX,"Edgewise Therapeutics, Inc.",2.25B,23.61,-0.88%,
652,RNW,ReNew Energy Global Plc,2.24B,6.18,-0.96%,1.01B
653,MQ,"Marqeta, Inc.",2.23B,4.420,-2.21%,507.00M
654,POWL,"Powell Industries, Inc.",2.22B,184.22,1.58%,1.06B
655,HWKN,"Hawkins, Inc.",2.21B,105.77,0.72%,952.13M
656,CENT,Central Garden & Pet Company,2.21B,33.67,-7.35%,3.22B
657,SBCF,Seacoast Banking Corporation of Florida,2.20B,25.96,-0.46%,499.14M
658,BANR,Banner Corporation,2.20B,63.77,-0.76%,601.02M
659,SSRM,SSR Mining Inc.,2.19B,10.88,-2.07%,995.62M
660,IQ,"iQIYI, Inc.",2.19B,2.280,-3.80%,4.00B
661,YY,JOYY Inc.,2.18B,41.97,1.79%,2.24B
662,VC,Visteon Corporation,2.17B,80.28,-2.15%,3.87B
663,LIVN,LivaNova PLC,2.15B,39.48,-2.35%,1.25B
664,BLTE,"Belite Bio, Inc",2.14B,67.28,-0.66%,
665,CAR,"Avis Budget Group, Inc.",2.13B,60.65,4.71%,11.79B
666,NVCR,NovoCure Limited,2.12B,19.33,0.78%,605.22M
667,CHEF,"The Chefs' Warehouse, Inc.",2.11B,52.52,0.83%,3.79B
668,KYMR,"Kymera Therapeutics, Inc.",2.11B,32.54,-2.02%,47.07M
669,WSBC,"WesBanco, Inc.",2.11B,31.55,-0.66%,586.99M
670,DIOD,Diodes Incorporated,2.10B,45.30,-0.79%,1.31B
671,DNLI,Denali Therapeutics Inc.,2.10B,14.43,-1.23%,
672,TRIP,"Tripadvisor, Inc.",2.09B,14.89,-0.60%,1.84B
673,CLSK,"CleanSpark, Inc.",2.09B,7.44,-4.00%,467.49M
674,PPBI,"Pacific Premier Bancorp, Inc.",2.08B,21.62,-0.60%,609.73M
675,LGND,Ligand Pharmaceuticals Incorporated,2.08B,108.15,-1.15%,167.13M
676,CNTA,Centessa Pharmaceuticals plc,2.08B,15.75,-3.31%,6.85M
677,TRMK,Trustmark Corporation,2.07B,34.01,0.18%,519.75M
678,CGON,"CG Oncology, Inc.",2.06B,27.05,-2.52%,684.00K
679,MYRG,MYR Group Inc.,2.05B,127.04,1.35%,3.36B
680,AGYS,"Agilysys, Inc.",2.04B,73.73,-1.81%,263.57M
681,EFSC,Enterprise Financial Services Corp,2.03B,55.03,-1.08%,607.34M
682,CENTA,Central Garden & Pet Company,2.03B,30.46,-6.05%,3.22B
683,SYBT,"Stock Yards Bancorp, Inc.",2.03B,69.07,0.39%,342.55M
684,COCO,"The Vita Coco Company, Inc.",2.02B,35.51,-0.17%,516.01M
685,HRMY,"Harmony Biosciences Holdings, Inc.",2.02B,35.28,1.09%,714.73M
686,NBTB,NBT Bancorp Inc.,2.02B,42.80,-0.91%,557.34M
687,ARQT,"Arcutis Biotherapeutics, Inc.",2.02B,17.01,1.43%,196.54M
688,CRTO,Criteo S.A.,2.00B,36.88,1.04%,1.93B
689,STRA,"Strategic Education, Inc.",2.00B,82.37,0.41%,1.22B
690,SKWD,"Skyward Specialty Insurance Group, Inc.",2.00B,49.75,-0.20%,1.15B
691,EXTR,"Extreme Networks, Inc.",1.98B,14.89,-0.73%,1.02B
692,SBLK,Star Bulk Carriers Corp.,1.94B,16.58,-3.32%,1.27B
693,BTDR,Bitdeer Technologies Group,1.93B,10.01,0.10%,349.78M
694,NEOG,Neogen Corporation,1.92B,8.85,-1.34%,913.83M
695,TARS,"Tarsus Pharmaceuticals, Inc.",1.92B,49.97,0.12%,182.95M
696,JBLU,JetBlue Airways Corporation,1.92B,5.43,-1.09%,9.28B
697,KLIC,"Kulicke and Soffa Industries, Inc.",1.91B,35.76,-0.36%,701.17M
698,MGNI,"Magnite, Inc.",1.90B,13.30,-0.82%,668.17M
699,CLOV,"Clover Health Investments, Corp.",1.90B,3.720,1.64%,1.37B
700,BEAM,Beam Therapeutics Inc.,1.89B,23.30,1.88%,63.52M
701,LMAT,"LeMaitre Vascular, Inc.",1.88B,83.49,-2.56%,219.86M
702,SIMO,Silicon Motion Technology Corporation,1.88B,55.80,-0.21%,803.55M
703,ENLT,Enlight Renewable Energy Ltd,1.88B,16.17,-0.71%,377.94M
704,PSEC,Prospect Capital Corporation,1.87B,4.220,-0.94%,796.25M
705,PGNY,"Progyny, Inc.",1.87B,21.86,0.83%,1.17B
706,ARWR,"Arrowhead Pharmaceuticals, Inc.",1.87B,14.80,-2.05%,2.50M
707,EVCM,EverCommerce Inc.,1.85B,10.08,0.90%,698.77M
708,ROCK,"Gibraltar Industries, Inc.",1.85B,60.89,-5.07%,1.31B
709,UPWK,Upwork Inc.,1.84B,13.57,0.89%,769.33M
710,GTX,Garrett Motion Inc.,1.83B,8.94,-0.33%,3.48B
